pergunta,resposta,tokens_prompt,tokens_resposta,tokens_total
"De acordo com o documento, qual o procedimento a ser adotado pelo NAA quando a escala de trabalho é recebida após o dia 15 do mês antecedente à escala de referência?","Quando a escala de trabalho é recebida após o dia 15 do mês antecedente à escala de referência, o NAA (Núcleo de Apoio Assistencial) arquiva a escala e o gestor fica responsável pelo cadastramento dos horários de trabalho dos empregados no sistema SIGP/MENTORH. O NAA inclui a escala no bloco interno do SEI (Sistema Eletrônico de Informações) em uma pasta previamente criada com o mês correspondente, nomeando-a através do ícone de anotações com a informação da unidade correspondente e informando ""Fora do Prazo"". O processo contendo a escala recebida é devolvido ao gestor com um despacho utilizando o texto padrão do SEI ""Entrega de Escala Fora do Prazo"".",71461,164,71625
"Descreva o procedimento para o tratamento de inconsistências encontradas nas escalas de trabalho, especificando as ações das chefias, os formulários utilizados e os departamentos envolvidos no processo de correção.","A ação das chefias em relação às inconsistências encontradas nas escalas de trabalho envolve a verificação e correção das divergências identificadas, como a incompatibilidade entre os horários cadastrados no sistema e os descritos na escala, a ausência de descansos obrigatórios, e a não conformidade com as normas estabelecidas. Quando uma inconsistência é detectada, a escala é devolvida ao gestor para as devidas retificações. As chefias devem informar os envolvidos sobre a necessidade de ajustes, e após a correção, a escala atualizada deve ser reenviada. Além disso, caso a escala seja entregue fora do prazo estipulado, o processo é arquivado e a responsabilidade pelo cadastro dos horários passa para o gestor. O registro das ações e das inconsistências é feito através da criação de um processo no SEI, onde são anexados os documentos com as devidas correções e comunicado à chefia imediata. Os formulários utilizados incluem o Formulário de Alteração de Horário Individual, que deve ser preenchido com informações detalhadas como nome completo do empregado, matrícula SIAPE, horários e data de início da nova jornada. A Unidade de Administração de P",51958,289,52247
"Quais são os passos para inserir as escalas de trabalho nas pastas, após a criação das pastas anuais e mensais, de acordo com as instruções fornecidas?","Para inserir as escalas de trabalho nas pastas após a criação das pastas anuais e mensais, o NAA deve seguir os seguintes passos:

1. Ao receber o processo contendo as escalas de trabalho, incluir no bloco interno do SEI em pasta previamente criada com o mês correspondente, nomeando-o através do ícone anotações.
2. Baixar a escala do processo, que deve estar em formato PDF, e arquivá-la no computador na seguinte estrutura: `Computador > NAA > Escalas Mensais > Ano Correspondente > Pasta da Unidade Correspondente`.
3. Nomear a escala salva da seguinte forma: `Nome da unidade_Profissional_Mês_Ano`. Exemplo: `CLÍNICA_MÉDICA_ENF_FEV_2022`.
4. Incluir na planilha de controle de entrega de escalas a data de envio da escala à DIVGP, informando o número do processo SEI correspondente como comentário.
5. Após o cadastramento dos horários excepcionais, dos DSR's e dos dias sem jornada no sistema SIGP/Mentorh, as escalas serão publicadas no site da EBSERH nas pastas correspondentes às categorias de médicos e equipes multidisciplinares.

Estes passos garantem que",60938,266,61204
"Qual o procedimento descrito no documento para anexar a Declaração de Dispensa no sistema SEI UFPel, após o preenchimento do formulário PROGEP: Requerimento de Benefícios?","Após o preenchimento do formulário PROGEP: Requerimento de Benefícios, o servidor deve anexar a Declaração de Dispensa no sistema SEI UFPel. O procedimento consiste em:

1. Selecionar a opção ""Incluir Documento"" no processo SEI.
2. Escolher o Tipo de Documento: ""Externo"".
3. Preencher os campos: Tipo do Documento como ""Declaração"", Data do Documento com a data da declaração, Número/Nome na Árvore como ""Justiça Eleitoral"" e Formato como ""Digitalizado"".
4. Selecionar o Nível de Acesso como ""Restrito"" e a Hipótese Legal como ""Informação Pessoal"".
5. Anexar o arquivo PDF da Declaração de Dispensa.
6. Confirmar os dados e enviar o processo para a chefia da Unidade para assinatura.
7. Informar o número do processo ao servidor para acompanhamento.

Se houver inconsistências ou o processo for recebido após o dia 15 do mês antecedente à escala de referência, a escala será devolvida ao gestor para retificações. Quando a escala estiver correta e completa, a Carta de Anuência será emitida e o processo será concluído, com a atualização",91871,259,92130
"Quais são os passos necessários para cadastrar as permissões de um servidor RJU no sistema SIP para acesso ao SEI EBSERH, incluindo as ações para alteração de lotação e vacância?","O processo para cadastrar as permissões de um servidor RJU no sistema SIP para acesso ao SEI EBSERH envolve os seguintes passos:

1. **Cadastro Inicial no SIP**: O servidor deve ser cadastrado no sistema de permissões EBSERH - SIP. Isso é feito acessando o sistema SIP e clicando em ""Usuários"" e depois em ""Novo"". Os dados solicitados devem ser inseridos, incluindo o órgão (HE-UFPEL), a sigla de usuário (nome do servidor no formato nome.sobrenome) e o nome completo do servidor.

2. **Cadastro de Permissões**: Após cadastrar o servidor, clique em ""Permissões"" e depois em ""Nova"". Preencha os campos conforme abaixo:
   - **Órgão do Sistema**: SEDE
   - **Sistema**: SEI
   - **Órgão da Unidade**: HE-UFPEL
   - **Órgão do Usuário**: HE-UFPEL
   - **Perfil**: Básica
   - **Unidade**: Cadastre a unidade de lotação do servidor
   - **Usuário**: Utilize a sigla de usuário cadastrada anteriormente
   
3. **Finalização do Cadastro**: Após preencher os dados, clique em ""Salvar"" para concluir o cadastro da permissão no SIP",67820,255,68075
"Qual o prazo de entrega do formulário DIVGP – DASF – 001 Remanejamento Interno RJU ao Departamento de Apoio ao Servidor Federal (DivGP), contado a partir da data da efetiva mudança de lotação?",O prazo de entrega do formulário DIVGP – DASF – 001 Remanejamento Interno RJU ao Departamento de Apoio ao Servidor Federal (DivGP) é de 15 dias de antecedência da efetiva mudança de lotação.,51825,47,51872
"Qual o tempo médio de duração da higienização simples das mãos com água e sabonete, e qual o tempo médio da fricção antisséptica das mãos com preparações alcoólicas?",O tempo médio de duração da higienização simples das mãos com água e sabonete é de 40 a 60 segundos. Já o tempo médio da fricção antisséptica das mãos com preparações alcoólicas é de aproximadamente 30 segundos.,47964,52,48016
"Qual o tempo mínimo de fricção recomendado para a antissepsia cirúrgica das mãos na primeira cirurgia e nas cirurgias subsequentes, respectivamente, de acordo com o documento?","O tempo mínimo de fricção recomendado para a antissepsia cirúrgica das mãos, conforme os documentos fornecidos, é de 3 a 5 minutos para a primeira cirurgia e de 2 a 3 minutos para as cirurgias subsequentes.",42533,51,42584
"Quais são as informações contidas na nota registrada no AGHU quando se trata de precaução de contato por bactéria multirresistente, de acordo com o documento?","As informações contidas na nota registrada no AGHU, quando se trata de precaução de contato por bactéria multirresistente, incluem:

- Nome do microrganismo
- Sítio/material coletado
- Data da coleta
- Observação: ""REINTERNAÇÃO ATÉ XX/XX/XXXX (1 ano após coleta) EM PRECAUÇÃO DE CONTATO""

Essa nota é registrada pela enfermeira do Serviço de Controle de Infecção Relacionada à Assistência à Saúde (SCIRAS) no sistema AGHU para garantir que as medidas de precaução sejam mantidas conforme as orientações técnicas. O registro serve como uma referência para futuras internações do paciente, assegurando a continuidade das precauções necessárias.",44636,160,44796
"De acordo com o documento, qual o tempo de duração recomendado para a higiene das mãos com água e sabonete líquido e com preparação alcoólica, respectivamente?","De acordo com os documentos fornecidos, o tempo de duração recomendado para a higiene das mãos é o seguinte:

- Com água e sabonete líquido: 40 a 60 segundos.
- Com preparação alcoólica: 20 a 30 segundos.

Essas informações estão presentes em vários documentos, como o Documento 2, Documento 3, Documento 8, Documento 18, e Documento 28, que citam o tempo de higienização das mãos conforme o procedimento utilizado.",38328,103,38431
"Quais são os materiais necessários para o processo de recebimento, conferência e armazenamento de medicamentos do Patrocinador do Estudo, conforme descrito no documento?","Os materiais necessários para o processo de recebimento, conferência e armazenamento de medicamentos do Patrocinador do Estudo são:

- Armário exclusivo para armazenamento de medicamentos;
- Computador com internet;
- Geladeira, quando necessário, para armazenamento de medicamentos termolábeis;
- Pasta de Controle de Lotes Recebidos;
- Termômetro para monitoramento da temperatura de armazenamento;
- Dispositivo de monitoramento de temperatura durante o transporte (como datalogger);
- Documentos de transporte, como a nota fiscal e o packing list ou similar;
- Refrigeradores científicos, quando necessário para armazenamento de medicamentos especiais;
- Caixa rígida térmica para transporte, quando aplicável;
- Blocos de gelo (gelox) para manutenção da temperatura durante o transporte;
- Caneta para anotações e assinaturas;
- Termo-higrômetro, quando necessário para monitorar umidade além da temperatura;
- Pasta para arquivamento de documentação do recebimento em armário exclusivo;
- Planilhas para controle de estoque e contabilidade de medicamentos.

Estes materiais são mencionados em vários documentos, com detalhes específicos sobre a utilização e armazenamento conforme as exigências do protocolo do estudo.",46711,306,47017
"De acordo com o documento, quais os equipamentos que devem ser de uso individual para cada paciente, e qual o procedimento caso não haja disponibilidade de material individual?","De acordo com os documentos fornecidos, os equipamentos de uso individual para cada paciente incluem:

- **Equipamentos como estetoscópio, esfigmomanômetro, termômetro, oxímetro, etc.** devem ser de uso individual e mantidos na área do paciente. Na **indisponibilidade de material individual**, eles devem ser **limpos e desinfetados com álcool 70% ou solução desinfetante padronizada** para reutilização.

**Procedimento caso não haja disponibilidade de material individual:**

- **Limpeza e desinfecção** do equipamento com álcool 70% ou solução desinfetante padronizada antes de serem utilizados por outro paciente.
- **Informar o paciente** com precauções, seus familiares e acompanhantes, assim como os familiares dos outros pacientes da mesma unidade/enfermaria, sobre a necessidade das precauções e medidas protetoras.
- **Registrar** no prontuário e comunicar à chefia imediata sobre a indisponibilidade e a ação de limpeza e desinfecção realizada.

Essas orientações visam garantir a segurança e a prevenção de infecções e contaminações cruzadas entre os pacientes, bem como assegurar a proteção dos profissionais de saúde durante a assistência.",61414,288,61702
"Quais são os materiais necessários para a implementação da precaução para gotículas, conforme descrito no documento?","Os materiais necessários para a implementação da precaução para gotículas, conforme descrito no Documento 1, são:

- Água corrente
- Sabonete líquido ou preparação alcoólica
- Papel toalha
- Máscara cirúrgica descartável
- Equipamento de precaução padrão, conforme o Manual de Biossegurança e Precauções na Assistência
- Placa de identificação da precaução

Esses materiais são essenciais para garantir a segurança dos profissionais e pacientes, prevenindo a disseminação de doenças transmitidas por gotículas, seguindo as orientações de biossegurança e precauções estabelecidas.",61472,144,61616
"Quais são os Equipamentos de Proteção Individual (EPIs) necessários para a assistência a pacientes em precaução para aerossóis, conforme mencionado no documento?","Os Equipamentos de Proteção Individual (EPIs) necessários para a assistência a pacientes em precaução para aerossóis, conforme mencionado nos documentos fornecidos, incluem:

- Máscara de alta eficiência (N95 ou PFF2)
- Luvas de procedimento
- Avental de proteção
- Óculos de proteção ou protetor facial

Esses EPIs devem ser utilizados por todos os profissionais e alunos envolvidos na assistência aos pacientes em precaução para aerossóis. É importante que os EPIs descartáveis estejam disponíveis de forma acessível nos postos de enfermagem, e que o controle de estoque e manutenção seja de responsabilidade do enfermeiro(a) responsável pela unidade. Além disso, os óculos de proteção individual são de responsabilidade de cada funcionário.

A higienização das mãos deve ser realizada conforme o **POP.CCIH.001 Higienização das Mãos**, antes e após a utilização dos EPIs, garantindo assim a segurança tanto dos profissionais quanto dos pacientes. 

A paramentação deve seguir a ordem: avental, máscara N95 ou PFF2, óculos de proteção e, por fim, as luvas, conforme o **MA.HE.004 Manual",56285,272,56557
"De acordo com o documento, quais são os passos a serem seguidos para a realização da tricotomia pré-operatória, incluindo a preparação do paciente e o descarte do material?","Para realizar a tricotomia pré-operatória, siga estes passos:

1. **Preparação do Paciente:**
   - Conferir a identificação do paciente conforme o protocolo de identificação.
   - Informar o paciente sobre o procedimento e a área a ser preparada.
   - Higienizar as mãos conforme o protocolo de higienização das mãos.

2. **Ambiente e Equipamentos:**
   - Providenciar iluminação adequada para a execução da tricotomia.
   - Manter a privacidade do paciente, expondo apenas a área a ser tricotomizada.
   - Proteger os lençóis de cama ou maca.
   - Calçar luvas de procedimento.

3. **Realização da Tricotomia:**
   - Adaptar a lâmina descartável no tricotomizador e testar o funcionamento.
   - Esticar a pele e manter o tricotomizador em um ângulo de 15 a 30 graus em relação à superfície da pele, evitando pressionar com força.
   - Remover os pelos cortados com toalha de papel descartável à medida que são cortados.

4. **Finalização e Descarte:**
   - Pressionar suavemente o lado ad",60402,247,60649
"Quais são os materiais necessários para a coleta de cultura de vigilância em recém-nascidos na UTI Neonatal, de acordo com o documento?","Os materiais necessários para a coleta de cultura de vigilância em recém-nascidos na UTI Neonatal, de acordo com os documentos fornecidos, são:

- Paramentação indicada para precaução de contato, conforme o Manual de Biossegurança e Precauções na Assistência (MA.HE.004).
- Coletor de secreção de vias aéreas.
- Soro fisiológico 0,9% 100 mL.
- Kit swab (swabs e tubos estéreis).
- Etiqueta com identificação do paciente e o local de coleta.

As etapas descritas nos documentos enfatizam a importância de utilizar materiais estéreis e devidamente identificados para garantir a precisão dos resultados das culturas e minimizar a transmissão de agentes infecciosos. A paramentação adequada é fundamental para proteger tanto o paciente quanto o profissional de saúde durante o procedimento.",64489,196,64685
"De acordo com o documento, qual o procedimento a ser adotado para a coleta de amostra de paciente entubado para diagnóstico de infecções virais no trato respiratório superior?","De acordo com os documentos fornecidos, para a coleta de amostra de paciente entubado para diagnóstico de infecções virais no trato respiratório superior, deve-se proceder à coleta de aspirado da secreção traqueal. A coleta deve ser realizada seguindo as seguintes etapas:

- Reunir o material necessário: EPIs (luvas, avental, gorro, máscara N95 ou PFF2, óculos de proteção), kit swab ou bronquinho (coletor de secreção de vias aéreas), etiquetas de identificação do paciente.
- Confirmar a identificação do paciente conforme protocolo estabelecido.
- Higienizar as mãos conforme o protocolo de higienização das mãos.
- Colocar os EPIs adequados.
- Inserir a sonda de aspiração na traqueia do paciente para coletar a secreção.
- Aplicar o vácuo, aspirando a secreção para o interior do coletor (bronquinho), mantendo a movimentação da sonda para evitar pressão sobre a mucosa e provocar sangramento.
- Alternar a coleta entre as vias até obter um volume suficiente, aproximadamente 1 mL.
- Aspirar o meio de transporte viral para o interior do coletor com a mesma",39814,266,40080
"De acordo com o documento, qual a solução recomendada para a nebulização em caso de coleta de escarro induzido, especificando a composição e advertindo sobre uma possível substância a ser evitada?","A solução recomendada para a nebulização em caso de coleta de escarro induzido é a preparação de uma solução salina a 3% (composta por 5 ml de Soro Fisiológico 0,9% e 0,5 ml de NaCl 20%) e a realização de nebulização durante 15 minutos. Ao final, solicita-se ao paciente que tussa e expectore no coletor sem encostar os lábios ou tocar a parte interna com os dedos para evitar contaminação da amostra. É importante evitar a utilização de solução preparada com água destilada e NaCl devido ao risco de broncoespasmo.",38216,128,38344
"De acordo com o documento, qual a ordem correta para a retirada dos Equipamentos de Proteção Individual (EPIs), após o procedimento de assistência ao paciente?","A ordem correta para a retirada dos Equipamentos de Proteção Individual (EPIs) após o procedimento de assistência ao paciente é a seguinte:

1. Retirar luvas;
2. Retirar óculos de proteção;
3. Remover máscara pelas tiras/fitas elásticas;
4. Retirar avental descartável;
5. Descartar os EPIs conforme indicado pelas práticas de gerenciamento de resíduos de saúde;
6. Higienizar as mãos conforme POP.CCIH.001.

Essa sequência é descrita no Documento 1 e visa minimizar a possibilidade de auto-contaminação ou auto-inoculação do profissional de saúde ao retirar os EPIs. É importante seguir rigorosamente essa ordem para garantir a segurança do profissional e prevenir a disseminação de infecções.",54777,173,54950
"De acordo com o documento, qual a exceção à regra de troca de cateter, especificando o tipo de cateter e quem decide a frequência de troca?","A exceção à regra de troca de cateter é para o cateter venoso central. Segundo os documentos fornecidos, não há uma rotina de troca estabelecida para o cateter venoso central. A troca não deve ocorrer exclusivamente em virtude do tempo de permanência. A decisão de troca deve ser baseada em complicações não infecciosas, como a necessidade devido a secreção purulenta no local da inserção, suspeita de infecção da corrente sanguínea associada ao cateter (IPCS) com instabilidade hemodinâmica ou IPCS confirmada, ou mau funcionamento do cateter. Esta avaliação e decisão são feitas pela equipe médica e de enfermagem, especialmente a médica do trabalho e o enfermeiro de saúde mental, conforme as necessidades clínicas do paciente.",48045,182,48227
"Quais são os tipos de cirurgia considerados elegíveis para a busca pós-alta, conforme descrito no documento, e como essas cirurgias são definidas?","As cirurgias consideradas elegíveis para a busca pós-alta são as cirurgias limpas, que são realizadas em tecidos estéreis ou passíveis de descontaminação, sem infecção ou inflamação no local, sem falhas técnicas grosseiras e sem drenagem aberta. Isso inclui cirurgias eletivas com cicatrização de primeira intenção e sem penetração nos tratos digestivo, respiratório ou urinário. Conforme descrito nos documentos, a busca pós-alta é aplicável para cirurgias limpas realizadas no Hospital Escola da Universidade Federal de Pelotas, com acompanhamento de enfermeiros e a utilização de planilhas específicas para registro, visando a vigilância de Infecção de Sítio Cirúrgico (ISC) até 30 dias após a cirurgia ou até 90 dias se houver colocação de implantes. A busca pós-alta envolve contato telefônico com o paciente para verificar sinais e sintomas de infecção, e orientações subsequentes conforme necessário.",54368,226,54594
"De acordo com o documento, quais são os objetivos do manual aplicável ao Hospital Escola da Universidade Federal de Pelotas (HE-UFPel) e setores sob gestão da Empresa Brasileira de Serviços Hospitalares – EBSERH?","O objetivo do manual aplicável ao Hospital Escola da Universidade Federal de Pelotas (HE-UFPel) e setores sob gestão da Empresa Brasileira de Serviços Hospitalares (EBSERH) é apresentar informações básicas sobre o funcionamento dos Setores e Unidades do hospital, incluindo rotinas de capacitações, formalização de visitas técnicas, acolhida de residentes, identificação e acompanhamento de riscos psicossociais, monitoramento de pesquisas, e formalização de estágios e internatos. Especificamente, o manual visa assegurar que os trabalhos potencialmente perigosos sejam executados dentro de padrões aceitáveis de segurança, garantir a prévia coordenação e comunicação entre os empregados, áreas solicitantes e executantes, e evitar incidentes durante as atividades. Além disso, busca organizar e dar suporte às atividades de ensino, pesquisa e extensão, promovendo a formação de recursos humanos e incentivando a pesquisa e inovação tecnológica. Este manual é fundamental para manter registros atualizados e para a formalização de atividades de ensino e pesquisa, garantindo a segurança e a qualidade no ambiente hospitalar.",69619,281,69900
