pergunta,resposta,tokens_prompt,tokens_resposta,tokens_total
"De acordo com o documento, qual o procedimento a ser adotado pelo NAA quando a escala de trabalho é recebida após o dia 15 do mês antecedente à escala de referência?","De acordo com o documento 1 e documentos correlatos (documentos 2, 3, 10, 17, 29), o procedimento a ser adotado pelo NAA quando a escala de trabalho é recebida após o dia 15 do mês antecedente à escala de referência é o seguinte:

- A escala será incluída pelo NAA no bloco interno do SEI em pasta previamente criada com o mês correspondente.
- O NAA nomeará o processo através do ícone anotações com a informação da unidade correspondente e informando “Fora do Prazo”.
- A escala contida no processo, que deverá estar em formato PDF, será baixada e arquivada em: Computador > NAA > Escalas Mensais > Ano Correspondente > Pasta da Unidade Correspondente.
- A escala salva deverá ser nomeada da seguinte forma: Nome da unidade_Profissional_Mês_Ano. Exemplo: CLÍNICA_MÉDICA_ENF_FEV_2022.
- Será devolvido ao gestor o processo contendo a escala recebida com despacho utilizando texto padrão contido no SEI “Entrega de Escala Fora do Prazo”.
- Na planilha de controle de entrega de escalas, no lugar da data de entrega, será informada a informação “Fora do Prazo”.
- O cadastramento dos horários de trabalho dos empregados no sistema SIGP/MENTORH ficará sob responsabilidade do gestor.
- Caso haja inconsistência na escala, esta será devolvida ao gestor para correção, com prazo para retorno (96 horas para Divisão de Enfermagem e 72 horas para demais unidades).
- Caso não haja retorno, aplica-se o disposto na Norma Operacional DGP Nº 04/2017, item 3.1.4.

Essas informações estão explicitamente contidas nos documentos 1, 2, 3, 10, 17, 29 e 9.

Resposta resumida:

Quando a escala de trabalho for recebida pelo NAA após o dia 15 do mês antecedente à escala de referência, o NAA deverá:

- Incluir a escala no bloco interno do SEI em pasta do mês correspondente, nomeando com anotação da unidade e informando “Fora do Prazo”;
- Baixar a escala em PDF e arquivar em Computador > NAA > Escalas Mensais > Ano > Pasta da Unidade, nomeando o arquivo conforme padrão (Nome da unidade_Profissional_Mês_Ano);
- Devolver ao gestor o processo com despacho padrão “Entrega de Escala Fora do Prazo”;
- Informar na planilha de controle a entrega como “Fora do Prazo”;
- O cadastramento dos horários no sistema SIGP/MENTORH ficará sob responsabilidade do gestor;
- Caso haja inconsistências, devolver para correção com prazo para retorno, sob pena de aplicação da norma disciplinar.",65401,595,65996
"Descreva o procedimento para o tratamento de inconsistências encontradas nas escalas de trabalho, especificando as ações das chefias, os formulários utilizados e os departamentos envolvidos no processo de correção.","O procedimento para o tratamento de inconsistências encontradas nas escalas de trabalho, especificando as ações das chefias, os formulários utilizados e os departamentos envolvidos no processo de correção, está descrito no Documento 2 e no Documento 4, conforme segue:

**Ações das chefias em relação às inconsistências encontradas nas escalas de trabalho:**

- Quando houver divergência de horários cadastrados no sistema com os descritos na escala de trabalho, as alterações a serem realizadas nos horários individuais dos empregados devem ser solicitadas pelo gestor (chefia) através do **Formulário de Alteração de Horário Individual**, constante no SEI.
- O formulário deve ser encaminhado para a **Unidade de Administração de Pessoal - UAP (UAP/DIVGP/GA/HE-UFPEL)**, com as informações detalhadas de cada empregado, incluindo:
  - Nome completo do empregado
  - SIAPE
  - Horários que o empregado deverá realizar em cada dia da semana
  - Data de início da nova jornada de trabalho

**Processo de verificação e devolução da escala:**

- A escala de trabalho é recebida pela Divisão de Gestão de Pessoas - DIVGP até o dia 15 do mês antecedente à escala de referência.
- Caso entregue após a data limite, a escala será arquivada pelo Núcleo de Apoio Assistencial - NAA e o cadastramento dos horários ficará sob responsabilidade do gestor.
- O NAA verifica as escalas e, se encontrar inconsistências, devolve a escala ao gestor para correção.
- O prazo para retorno da escala corrigida é de 96 horas para a Divisão de Enfermagem e 72 horas para as demais unidades.
- Caso não haja retorno, aplica-se o disposto na Norma Operacional DGP Nº 04/2017.
- Após o lançamento da escala corrigida, o processo contendo a escala recebida é devolvido ao gestor com despacho utilizando texto padrão no SEI “Escala Lançada”.

**Armazenamento e controle:**

- A escala recebida é baixada do processo SEI, arquivada em pasta digital no computador do NAA, com nomeação padronizada (exemplo: Nome da unidade_Profissional_Mês_Ano).
- O lançamento dos horários dos empregados constantes na escala é registrado em planilha Excel de controle de escalas disponível em Computador > NAA > Controle de Entrega de Escalas.
- A planilha registra datas de entrega, lançamento, número do processo SEI, fluxo de entrega (escalas não entregues, fora do prazo), versão final, entre outros.
- Caso a escala seja recebida após o prazo, é registrada na planilha como “Fora do Prazo”.
- Caso não haja retorno do gestor com as retificações, é registrada na planilha como “Sem Retorno”.

**Departamentos envolvidos:**

- Chefias imediatas (gestores) são responsáveis por solicitar as correções e realizar as alterações necessárias.
- Unidade de Administração de Pessoal - UAP (UAP/DIVGP/GA/HE-UFPEL) recebe e processa o Formulário de Alteração de Horário Individual.
- Núcleo de Apoio Assistencial - NAA realiza a verificação das escalas, devolve para correção e arquiva as escalas.
- Divisão de Gestão de Pessoas - DIVGP recebe as escalas via SEI e realiza o controle do processo.

**Formulários utilizados:**

- **Formulário de Alteração de Horário Individual** (constante no SEI) para solicitação de alterações nos horários individuais dos empregados.

---

**Resumo do procedimento:**

1. Chefia identifica inconsistência na escala de trabalho (divergência de horários).
2. Chefia solicita alteração via Formulário de Alteração de Horário Individual no SEI.
3. Formulário é encaminhado para a Unidade de Administração de Pessoal - UAP.
4. NAA verifica escalas recebidas, devolve escalas com inconsistências para correção.
5. Gestor corrige e reenvia a escala no prazo estipulado.
6. Após lançamento, NAA registra o processo e atualiza planilha de controle.
7. Processo é devolvido ao gestor com despacho padrão “Escala Lançada”.

---

**Fontes:**

- Documento 2: Ações das chefias em relação às inconsistências encontradas nas escalas de trabalho.
- Documento 4: Procedimentos para verificação, devolução, prazos, armazenamento e controle das escalas de trabalho.",48937,949,49886
"Quais são os passos para inserir as escalas de trabalho nas pastas, após a criação das pastas anuais e mensais, de acordo com as instruções fornecidas?","Os passos para inserir as escalas de trabalho nas pastas, após a criação das pastas anuais e mensais, de acordo com as instruções fornecidas, são:

1. Acessar o site da EBSERH no endereço:  
   https://www.gov.br/ebserh/pt-br/hospitais-universitarios/regiao-sul/he-ufpel/acesso-a-informacao/servidores/escalas-de-trabalho/escalas-medica-e-multiprofissional

2. Criar uma pasta em ""item > pasta"", identificando o ano no título, salvar e clicar em publicar.

3. Dentro da pasta do ano, ir em ""conteúdo > adicionar item > pasta"", identificar o mês no título, salvar e clicar em publicar.

4. Para inserir as escalas nas pastas, clicar em ""conteúdo"" e adicionar arquivos > iniciar upload.

5. Após inserir o documento, finalizar clicando em F5.

Fonte: Documento 10",56347,206,56553
"Qual o procedimento descrito no documento para anexar a Declaração de Dispensa no sistema SEI UFPel, após o preenchimento do formulário PROGEP: Requerimento de Benefícios?","Após preencher e assinar o formulário PROGEP: Requerimento de Benefícios, para anexar a Declaração de Dispensa no sistema SEI UFPel, deve-se:

- Selecionar a opção “Incluir Documento” e escolher o Tipo do Documento: “Externo”;
- Na próxima tela, preencher o Tipo do Documento: “Declaração”, a data do documento, o Número/Nome na Árvore: “Justiça Eleitoral”, o formato, o nível de acesso e a hipótese legal;
- Anexar o arquivo da Declaração de Dispensa, procurando o mesmo nos seus documentos;
- Após concluído, clicar em “Confirmar Dados”;
- Depois de preencher e assinar o formulário PROGEP: Requerimento de Benefícios e incluir o anexo com a Declaração de Dispensa, o servidor deve informar o número do processo para a chefia da Unidade que deverá assinar o documento;
- Após a assinatura da chefia, o servidor deve enviar o processo para a Seção de Apoio Administrativo – SAAD/PROGEP;
- Após enviar ao SAAD, o servidor deve acompanhar o processo para conferir se a folga foi autorizada e lançada pela PROGEP.

IMPORTANTE: A folga deve ser autorizada pela chefia e o processo enviado à SAAD ANTES da data prevista para o gozo da folga.

(Todas as informações acima estão explicitamente contidas no Documento 1.)",87377,306,87683
"Quais são os passos necessários para cadastrar as permissões de um servidor RJU no sistema SIP para acesso ao SEI EBSERH, incluindo as ações para alteração de lotação e vacância?","Os passos necessários para cadastrar as permissões de um servidor RJU no sistema SIP para acesso ao SEI EBSERH, incluindo as ações para alteração de lotação e vacância, são os seguintes:

**Cadastro de servidores no SIP:**
1. Acessar o sistema SIP e clicar em “Usuários” + “Novo”.
2. Incluir os dados solicitados:
   - Orgão: HE-UFPEL
   - Sigla: usuário do servidor (usuário de acesso aos sistemas EBSERH e/ou e-mail EBSERH)
   - Nome: nome completo do servidor
   - ID Origem: (em branco)
3. Salvar.

**Cadastro de Permissões:**
1. Clicar em “Permissões” + “Nova”.
2. Preencher os campos:
   - Orgão do Sistema: SEDE
   - Sistema: SEI
   - Orgão da Unidade: HE-UFPEL
   - Orgão do Usuário: HE-UFPEL
   - Perfil: Básica
   - Unidade: cadastrar a unidade do servidor
   - Usuário: cadastrar a sigla do servidor (nome.sobrenome)
3. Salvar.

**Em caso de alteração na unidade de lotação:**
- Incluir a data final na permissão vigente.
- Cadastrar nova permissão para o usuário.

**Em caso de vacância:**
- Incluir a data final na permissão vigente.

Referência: Documento 1 e Documento 2.",62840,313,63153
"Qual o prazo de entrega do formulário DIVGP – DASF – 001 Remanejamento Interno RJU ao Departamento de Apoio ao Servidor Federal (DivGP), contado a partir da data da efetiva mudança de lotação?",O formulário DIVGP – DASF – 001 Remanejamento Interno RJU deve ser entregue no Departamento de Apoio ao Servidor Federal (DivGP) com 15 dias de antecedência da efetiva mudança de lotação.,51415,49,51464
"Qual o tempo médio de duração da higienização simples das mãos com água e sabonete, e qual o tempo médio da fricção antisséptica das mãos com preparações alcoólicas?","O tempo médio de duração da higienização simples das mãos com água e sabonete é de 40 a 60 segundos; o tempo médio da fricção antisséptica das mãos com preparações alcoólicas é de 30 segundos.

Referências no texto:

- Documento 2 e Documento 3: ""A higienização simples das mãos com água e sabonete deve durar em média 40-60 segundos.""
- Documento 1, Documento 3 e Documento 10: ""A fricção antisséptica das mãos dura em média 30 segundos.""
- Documento 5 e Documento 7 e Documento 8: ""Higiene das mãos com água e sabonete líquido (40 – 60”)"" e ""Higiene das mãos com preparação alcoólica (20 – 30”)"".

Resposta final:

- Higienização simples das mãos com água e sabonete: 40 a 60 segundos.
- Fricção antisséptica das mãos com preparações alcoólicas: 30 segundos.",48385,212,48597
"Qual o tempo mínimo de fricção recomendado para a antissepsia cirúrgica das mãos na primeira cirurgia e nas cirurgias subsequentes, respectivamente, de acordo com o documento?","De acordo com os Documentos 1 e 6, o tempo mínimo de fricção recomendado para a antissepsia cirúrgica das mãos é:

- Para a primeira cirurgia: no mínimo 03 a 05 minutos.
- Para as cirurgias subsequentes: no mínimo 02 a 03 minutos.",42409,68,42477
"Quais são as informações contidas na nota registrada no AGHU quando se trata de precaução de contato por bactéria multirresistente, de acordo com o documento?","Quando se trata de precaução de contato por bactéria multirresistente, a enfermeira registra no AGHU uma nota com as seguintes informações:

- Nome do microrganismo
- Sítio/material coletado
- Data da coleta
- Observação: ""REINTERNAÇÃO ATÉ XX/XX/XXXX (1 ano após coleta) EM PRECAUÇÃO DE CONTATO""

Essa informação está explicitamente contida nos Documentos 1 e 5.",45988,101,46089
"De acordo com o documento, qual o tempo de duração recomendado para a higiene das mãos com água e sabonete líquido e com preparação alcoólica, respectivamente?","De acordo com o documento, o tempo de duração recomendado para a higiene das mãos com água e sabonete líquido é de 40 a 60 segundos, e para a higiene das mãos com preparação alcoólica é de 20 a 30 segundos.

Referências extraídas dos documentos:

- Documento 2: ""A higienização simples das mãos com água e sabonete deve durar em média 40-60 segundos""; ""A fricção antisséptica das mãos dura em média 30 segundos.""
- Documento 3: ""Higiene das mãos com água e sabonete líquido (40 – 60”): ... Higiene das mãos com preparação alcoólica (20 – 30”): ...""
- Documento 4: ""Higiene das mãos com água e sabonete líquido (40 – 60”): ... Higiene das mãos com preparação alcoólica (20 – 30”): ...""
- Documento 5: ""Higiene das mãos com água e sabonete líquido (40 – 60”): ... Higiene das mãos com preparação alcoólica (20 – 30”): ...""
- Documento 8: ""A higienização simples das mãos com água e sabonete deve durar em média 40-60 segundos""; ""A fricção antisséptica das mãos dura em média 30 segundos.""
- Documento 6: ""A fricção antisséptica das mãos dura em média 30 segundos.""
- Documento 18: ""Acrescentado tempo de higienização simples das mãos""
- Documento 24: ""Ajustes na descrição de procedimentos e materiais.""
- Documento 41: ""Ajustes nos materiais e descrição de procedimentos.""

Portanto, a resposta é:

Higiene das mãos com água e sabonete líquido: 40 a 60 segundos;  
Higiene das mãos com preparação alcoólica: 20 a 30 segundos.",38833,391,39224
"Quais são os materiais necessários para o processo de recebimento, conferência e armazenamento de medicamentos do Patrocinador do Estudo, conforme descrito no documento?","Os materiais necessários para o processo de recebimento, conferência e armazenamento de medicamentos do Patrocinador do Estudo, conforme descrito no Documento 1, são:

- Armário exclusivo para o armazenamento de medicamentos;
- Computador com internet;
- Geladeira, quando necessário;
- Pasta de Controle de lotes recebidos;
- Termômetro.",43625,74,43699
"De acordo com o documento, quais os equipamentos que devem ser de uso individual para cada paciente, e qual o procedimento caso não haja disponibilidade de material individual?","Equipamentos que devem ser de uso individual para cada paciente, conforme o documento 4 e documento 9:

- Estetoscópio
- Esfigmomanômetro
- Termômetro
- Oxímetro
- Outros equipamentos similares (etc.)

Procedimento caso não haja disponibilidade de material individual:

- Eles devem ser limpos e desinfetados com álcool 70% ou solução desinfetante padronizada para a reutilização.

Texto extraído do Documento 4:

""Equipamentos como estetoscópio, esfigmomanômetro, termômetro, oxímetro etc. devem ser de uso individual e devem ser mantidos na área do paciente. Na indisponibilidade de material para uso individual, eles devem ser limpos e desinfetados com álcool 70% ou solução desinfetante padronizada para a reutilização;""

Texto extraído do Documento 9:

""Equipamentos como estetoscópio, esfigmomanômetro, termômetro, oxímetro etc. devem ser de uso individual e devem ser mantidos na área do paciente. Na indisponibilidade de material para uso individual, eles devem ser limpos e desinfetados com álcool 70% ou solução desinfetante padronizada para a reutilização;""",58622,270,58892
"Quais são os materiais necessários para a implementação da precaução para gotículas, conforme descrito no documento?","Os materiais necessários para a implementação da precaução para gotículas, conforme descrito no Documento 1, são:

- Água corrente;
- Sabonete líquido ou preparação alcoólica;
- Papel toalha;
- Máscara cirúrgica descartável;
- Equipamento de precaução padrão conforme MA.HE.004 Manual de Biossegurança e Precauções na Assistência;
- Placa de identificação da precaução.",62446,90,62536
"Quais são os Equipamentos de Proteção Individual (EPIs) necessários para a assistência a pacientes em precaução para aerossóis, conforme mencionado no documento?","Os Equipamentos de Proteção Individual (EPIs) necessários para a assistência a pacientes em precaução para aerossóis, conforme mencionado no documento, são:

- Máscaras próprias de alta eficiência – N95 ou PFF2, PFF3 (para os profissionais durante a permanência no quarto)  
- Máscara de alta eficiência (N95 ou PFF2) para acompanhantes, com orientação sobre a correta utilização  
- EPIs conforme MA.HE.004 Manual de Biossegurança e Precauções na Assistência (sem detalhamento específico dos itens no texto, mas referenciado)  

Referências extraídas dos documentos 3 e 18:

Documento 3:  
""MATERIAL Água corrente; Sabonete líquido ou preparação alcoólica; Papel toalha; EPIs: conforme MA.HE.004 Manual de Biossegurança e Precauções na Assistência; Placa indicativa do tipo de precaução.""

Documento 18:  
""Durante a permanência no quarto, os profissionais devem utilizar máscaras próprias de alta eficiência – N95 ou PFF2, PFF3;  
Fornecer máscara de alta eficiência (N95 ou PFF2) para acompanhantes e orientá-los sobre a correta utilização;""

Portanto, os EPIs explicitamente mencionados para precaução para aerossóis são as máscaras de alta eficiência N95 ou PFF2/PFF3 e os EPIs conforme o Manual MA.HE.004.  

Resposta final:  
Máscaras próprias de alta eficiência – N95 ou PFF2, PFF3 para profissionais; máscara de alta eficiência (N95 ou PFF2) para acompanhantes; EPIs conforme MA.HE.004 Manual de Biossegurança e Precauções na Assistência.",56731,361,57092
