id,pergunta,resposta,arquivo_fonte
12,"Descreva o procedimento para o tratamento de inconsistências encontradas nas escalas de trabalho, especificando as ações das chefias, os formulários utilizados e os departamentos envolvidos no processo de correção.","As alterações a serem realizadas nos Horários Individuais dos empregados devem ser solicitadas pelo gestor através de Formulário de Alteração de Horário Individual, constante no SEI, e encaminhado para a Unidade de Administração de Pessoal - UAP (UAP/DIVGP/GA/HE-UFPEL), com as informações detalhadas de cada empregado constando nome completo do empregado, SIAPE, horários que o empregado deverá realizar cada dia da semana e data de início da nova jornada de trabalho.",POP.DIVGP.002 RECEBER E LANÇAR ESCALAS DE TRABALHO NO SISTEMA SIGP MENTORH.docx
13,"Quais são os passos para inserir as escalas de trabalho nas pastas, após a criação das pastas anuais e mensais, de acordo com as instruções fornecidas?","para inserir as escalas nas pastas, deverá clicar em conteúdo e adicionar arquivos>iniciar upload; após inserido o documento finalizar clicando em F5.",POP.DIVGP.002 RECEBER E LANÇAR ESCALAS DE TRABALHO NO SISTEMA SIGP MENTORH.docx
14,"Qual o procedimento descrito no documento para anexar a Declaração de Dispensa no sistema SEI UFPel, após o preenchimento do formulário PROGEP: Requerimento de Benefícios?","Após o preenchimento do formulário PROGEP: Requerimento de Benefícios e incluir o anexo com a Declaração de Dispensa, o servidor deve informar o número do processo para a chefia da Unidade que deverá assinar o documento; Após a assinatura da chefia, o servidor deve enviar o processo para a Seção de Apoio Administrativo – SAAD/PROGEP.",POP.DIVGP.003 SOLICITAR DISPENSA POR SERVIÇO PRESTADO À JUSTIÇA ELEITORAL - RJU.docx
15,"Quais são os passos necessários para cadastrar as permissões de um servidor RJU no sistema SIP para acesso ao SEI EBSERH, incluindo as ações para alteração de lotação e vacância?","Cadastro de Permissões: Clicar em “Permissões” + “Nova”: Orgão do Sistema: SEDE Sistema: SEI Orgão da Unidade: HE-UFPEL Orgão do Usuário: HE-UFPEL Perfil: Básica Unidade: cadastrar a unidade do servidor Usuário: cadastrar a sigla do servidor (nome. sobrenome) Salvar Em caso de alteração na unidade de lotação deve ser incluida a data final na permissão vigente, e cadastrada nova permissão para o usuário. Em caso de vacância deve ser incluida a data final na permissão vigente.",POP.DIVGP.004 UTILIZAR O SISTEMA DE PERMISSÕES EBSERH - SIP.docx
16,"Qual o prazo de entrega do formulário DIVGP – DASF – 001 Remanejamento Interno RJU ao Departamento de Apoio ao Servidor Federal (DivGP), contado a partir da data da efetiva mudança de lotação?",com 15 dias de antecedência da efetiva mudança de lotação,POP.DIVGP.005 FORMALIZAR REMANEJAMENTO INTERNO DE SERVIDORES RJU.docx
17,"Qual o tempo médio de duração da higienização simples das mãos com água e sabonete, e qual o tempo médio da fricção antisséptica das mãos com preparações alcoólicas?",A higienização simples das mãos com água e sabonete deve durar em média 40-60 segundos; A fricção antisséptica das mãos dura em média 30 segundos.,POP.CCIH.001 HIGIENIZAÇÃO DAS MÃOS V.04.docx
18,"Qual o tempo mínimo de fricção recomendado para a antissepsia cirúrgica das mãos na primeira cirurgia e nas cirurgias subsequentes, respectivamente, de acordo com o documento?","03 a 05 minutos para a primeira cirurgia, e 02 a 03 minutos para as cirurgias subsequentes",POP.CCIH.002 ANTISSEPSIA CIRÚRGICA E PREPARO PRÉ OPERATÓRIO DAS MÃOS V.04.docx
19,"Quais são as informações contidas na nota registrada no AGHU quando se trata de precaução de contato por bactéria multirresistente, de acordo com o documento?","nome do microrganismo, sítio/material coletado, data da coleta e a seguinte observação - REINTERNAÇÃO ATÉ XX/XX/XXXX (1 ano após coleta) EM PRECAUÇÃO DE CONTATO",POP.CCIH.003 Instituir precauções adicionais específicas v.04.docx
20,"De acordo com o documento, qual o tempo de duração recomendado para a higiene das mãos com água e sabonete líquido e com preparação alcoólica, respectivamente?",Higiene das mãos com água e sabonete líquido (40 – 60”); Higiene das mãos com preparação alcoólica (20 – 30”),POP.CCIH.004 Adotar medidas de precaução padrão v.04.docx
21,"Quais são os materiais necessários para o processo de recebimento, conferência e armazenamento de medicamentos do Patrocinador do Estudo, conforme descrito no documento?","Armário exclusivo para o armazenamento de medicamentos; Computador com internet; Geladeira, quando necessário; Pasta de Controle de lotes recebidos; Termômetro.",POP.GEP.032 RECEBIMENTO DE MEDICAMENTOS DO PATROCINADOR DO ESTUDO.docx
22,"De acordo com o documento, quais os equipamentos que devem ser de uso individual para cada paciente, e qual o procedimento caso não haja disponibilidade de material individual?","Equipamentos como estetoscópio, esfigmomanômetro, termômetro, oxímetro etc. devem ser de uso individual e devem ser mantidos na área do paciente. Na indisponibilidade de material para uso individual, eles devem ser limpos e desinfetados com álcool 70% ou solução desinfetante padronizada para a reutilização",POP.CCIH.005 Adotar medidas de precaução de contato v.05.docx
23,"Quais são os materiais necessários para a implementação da precaução para gotículas, conforme descrito no documento?",Água corrente; Sabonete líquido ou preparação alcoólica; Papel toalha; Máscara cirúrgica descartável + equipamento de precaução padrão conforme MA. HE. 004 Manual de Biossegurança e Precauções na Assistência); Placa de identificação da precaução.,POP.CCIH.006 Adotar medidas de precaução para gotículas v.04.docx
24,"Quais são os Equipamentos de Proteção Individual (EPIs) necessários para a assistência a pacientes em precaução para aerossóis, conforme mencionado no documento?",EPIs: conforme MA. HE. 004 Manual de Biossegurança e Precauções na Assistência,POP.CCIH.007 Adotar medidas de precaução para aerossóis v.04.docx
25,"De acordo com o documento, quais são os passos a serem seguidos para a realização da tricotomia pré-operatória, incluindo a preparação do paciente e o descarte do material?","1. Conferir identificação da paciente conforme PRT. GAS. 006 Protocolo de Identificação do Paciente; 2. Informar o paciente sobre o procedimento a ser realizado e a área a ser preparada; 3. Higienizar as mãos (Conforme POP. CCIH. 001 Higienização das Mãos); 4. Providenciar a iluminação adequada para execução da técnica de tricotomia; 5. Manter a privacidade do paciente, expondo somente a área a ser tricotomizada; 6. Proteger os lençóis de cama ou maca; 7. Calçar luvas; 8. Adaptar a lâmina descartável no tricotomizador e testar o funcionamento; 9. Esticar a pele, manter o tricotomizador no ângulo de 15 – 30 graus em relação a superfície da pele e fazer a tricotomia cuidando para não pressionar com força; 10. Remover (com toalha de papel descartável) os pelos a medida que são cortados; 11. Pressionar suavemente o lado adesivo da fita crepe sobre a área tricotomizada para remover os pelos residuais na área tricotomizada; 12. Encaminhar   o   paciente   para   o  banho  de  aspersão  ou   banho  de  leito,  higienizando a área tricotomizada com água morna e sabão antisséptico; 13. Substituir os lençóis da cama ou maca; 14. Dar destino adequado aos materiais utilizados; 15. Limpar o tricotomizador após cada uso, de acordo com as instruções do fabricante; 16. Registrar a técnica realizada no prontuário do paciente, assinar e carimbar.",POP.CCIH.008 TRICOTOMIA PRÉ OPERATÓRIA V.02.docx
26,"Quais são os materiais necessários para a coleta de cultura de vigilância em recém-nascidos na UTI Neonatal, de acordo com o documento?","Paramentação indicada para precaução de contato MA. HE. 004 Manual de Biossegurança e Precauções na Assistência (disponível no site do Hospital Escola -> Intranet -> Documentos e manuais -> Manuais, POP’s e Protocolos Aprovados pela Qualidade -> Manuais/GAS) •	Coletor de secreção de vias aéreas; •	Clorexidina aquosa ou degermante; •	Etiqueta com identificação do paciente e o local de coleta; •	Gaze estéril; •	Kit swab (swabs e tubos estéreis); •	Pote de EQU; •	Soro fisiológico 09% 100 mL; •	Sonda de aspiração.",POP.CCIH.012 CULTURA DE VIGILÂNCIA UTI NEONATAL V.03.docx
27,"De acordo com o documento, qual o procedimento a ser adotado para a coleta de amostra de paciente entubado para diagnóstico de infecções virais no trato respiratório superior?","Para os casos graves no qual o paciente encontra-se entubado, pode-se proceder à coleta de aspirado da secreção traqueal.",POP.CCIH.013 COLETA DE SECREÇÃO PARA DETECÇÃO DE INFECÇÕES RESPIRATÓRIAS VIRAIS (INFLUENZA E COVID-19) V.02.docx
28,"De acordo com o documento, qual a solução recomendada para a nebulização em caso de coleta de escarro induzido, especificando a composição e advertindo sobre uma possível substância a ser evitada?","Preparar a solução salina 3% (5 ml de Soro Fisiológico 0,9% + 0,5 ml de NaCl 20%) e realizar nebulização durante 15 minutos. Não utilizar solução preparada com água destilada e NaCl devido ao risco de broncoespasmo.",POP.CCIH.014 COLETA DE ESCARRO PARA PESQUISA DE BAAR v.03.docx
29,"De acordo com o documento, qual a ordem correta para a retirada dos Equipamentos de Proteção Individual (EPIs), após o procedimento de assistência ao paciente?",Sequência: 1. Retirar luvas; 2. Retirar óculos de proteção; 3. Remover máscara pelas tiras/fitas elásticas ; 4. Retirar avental descartável; 5. Descartar os EPIs conforme indicado pelas práticas de gerenciamento de resíduos de saúde. Armazenar quando indicado; 6. Higienizar as mãos conforme POP. CCIH. 001.,POP.CCIH.015 PARAMENTAÇÃO PARA PRECAUÇÕES - SEQUÊNCIA DE COLOCAÇÃO E RETIRADA DOS EPIS.docx
30,"De acordo com o documento, qual a exceção à regra de troca de cateter, especificando o tipo de cateter e quem decide a frequência de troca?","Exceto cateter tipo óculos, que deve ser trocado de acordo com a necessidade e avaliação do Enfermeiro.",POP.CCIH.016 FREQUENCIA DE TROCA DE ARTIGOS.docx
31,"Quais são os tipos de cirurgia considerados elegíveis para a busca pós-alta, conforme descrito no documento, e como essas cirurgias são definidas?","Cirurgias limpas: são realizadas em tecidos estéreis ou passíveis de descontaminação na ausência de processo infeccioso e inflamatório local ou falhas técnicas grosseiras, cirurgias eletivas com cicatrização de primeira intenção e sem drenagem aberta. Cirurgias em que não ocorrem penetrações nos tratos digestivo, respiratório ou urinário.",POP.CCIH.017 REALIZAR BUSCA PÓS ALTA DE INFECÇÃO DE SÍTIO CIRÚRGICO (ISC) ASSOCIADA À CESARIANA E CIRURGIA LIMPA V.02.docx
32,"De acordo com o documento, quais são os objetivos do manual aplicável ao Hospital Escola da Universidade Federal de Pelotas (HE-UFPel) e setores sob gestão da Empresa Brasileira de Serviços Hospitalares – EBSERH?","Este manual é aplicável para o Hospital Escola da Universidade Federal de Pelotas (HE-UFPel), setores e frentes de trabalho sob a gestão da Empresa Brasileira de Serviços Hospitalares – EBSERH, tendo como objetivos: identificar os perigos, riscos e medidas preventivas de controle implementadas nas atividades; assegurar que os trabalhos potencialmente perigosos sejam executados dentro de padrões aceitáveis de segurança; garantir a prévia coordenação e comunicação entre os empregados, áreas solicitantes e executantes desses serviços não rotineiros, evitando que incidentes ocorram.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx
33,"Quais são as responsabilidades do Responsável pela área EBSERH, de acordo com o documento fornecido?","Cumprir e fiscalizar as diretrizes do presente procedimento; acompanhar e orientar a equipe de trabalho quanto ao seguimento das diretrizes do procedimento, fornecendo os recursos necessários; validar a PTR junto aos responsáveis pela execução do trabalho; comunicar os envolvidos e gestores de áreas sobre a realização dos serviços realizados; comunicar imediatamente, ao responsável pela execução, qualquer necessidade de mudanças no procedimento de trabalho estabelecido durante a execução do mesmo; revisar e aprovar a ASTC, juntamente com o responsável executante e profissional de segurança do trabalho; ser diretamente responsável pela área em que o trabalho será conduzido; conhecer e compreender o programa de trabalho e como ele será desenvolvido; conhecer a área e os riscos potenciais associados ao processo e aos equipamentos; assegurar que todas as precauções de segurança sejam apropriadamente implementadas antes da assinatura e liberação da permissão; tornar a área segura para trabalho; garantir que o local de trabalho seja inspecionado após sua conclusão, para verificar a limpeza e o retorno às condições normais de operação; assinar a permissão na abertura e fechamento dos trabalhos, certificando-se de que os itens obrigatórios para conclusão da PTR foram cumpridos (inspeção “in loco”); atentar às recomendações provenientes do serviço de Segurança do Trabalho e implementar as ações preventivas/corretivas necessárias.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx
34,"Quais são os exemplos de atividades rotineiras de baixo risco que são isentas de Permissão de Trabalho de Risco (PTR), de acordo com o documento?","Exemplos de atividades rotineiras, classificadas de baixo risco: atividades de almoxarifado; atividades médicas/assistenciais; transporte manual de peças; atividades rotineiras executadas dentro da oficina de manutenção/elétrica; preservação, higienização de equipamentos estáticos.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx
35,"Quais são os documentos necessários para a execução de trabalhos a quente, conforme descrito no texto?","Para estas atividades é necessário a abertura de PTR, juntamente com APR e preenchimento do Formulário USOST-029 - Autorização para trabalho a quente (disponível no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST - Unidade de Saúde Ocupacional e Segurança do Trabalho).",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx
36,"Quais são os procedimentos de encerramento da Permissão de Trabalho (PTR), incluindo o que acontece com as vias do documento após a conclusão do serviço, conforme descrito no documento?","Após o término da atividade, da organização e limpeza da frente de trabalho e retirada dos bloqueios utilizados, quando aplicável, os responsáveis da área e execução devem assinar e datar o campo de encerramento. A primeira via deve ficar com o responsável pela execução do serviço que deve realizar o registro do documento no GLPI e a segunda via deve ficar na frente do serviço onde ocorre a atividade até o término das atividades. Após a conclusão do serviço as vias da PTR devem ser entregues à USOST para arquivamento.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx
37,"Quais são as informações contidas nos formulários utilizados nas inspeções de Ordem, Limpeza e Arrumação (OLA), de acordo com o documento?","Todos os formulários possuem campos para preenchimento das seguintes informações: local, data da inspeção, responsável pelo local ou serviço e responsável pela inspeção, além da nota e comentários de cada item.",POP.USOST.001 Inspecao de OLA.docx
38,"Quais são os exemplos de mistura química líquida, sólida e gasosa citados no documento?","Exemplo de mistura química líquida: hipoclorito, álcool, formaldeído e outros. Exemplo de mistura química sólida: Barra funcional Violeta Genciana, sabão em barra, ácido peracético em pó e outros. Exemplo de mistura química gassosa: Ar comprimido, oxigênio comprimido, gás liquefeito de petróleo e outros.",POP.USOST.002 Trabalhos com produtos quimicos - requisitos basicos.docx
39,"Quais são as informações básicas do produto comercial que devem ser obtidas consultando a Ficha de Informação de Segurança de Produtos Químicos (FISPQ) e os rótulos, de acordo com o documento?",Identificação do produto e da empresa; Identificação dos perigos; Composição e informação dos ingredientes; Medidas de primeiros socorros; Medidas de combate a incêndio; Medidas de controle para derramamento ou vazamento; Manuseio e armazenamento; Controle da exposição e equipamentos de proteção individual; Propriedades físico-químicas; Estabilidade e reatividade; Informações toxicológicas; Informações ecológicas; Considerações sobre tratamento e disposição; Informações sobre transporte; Regulamentações; Outras informações.,POP.USOST.004 Trabalhos com produtos quimicos - requisitos para aquisicao.docx
40,"Quais são as ações obrigatórias a serem tomadas pela chefia imediata em relação ao manuseio de produtos químicos, de acordo com o documento?","Exigir o cumprimento das boas práticas descritas neste documento; Garantir a capacitação dos trabalhadores sob sua gestão; Proibir a reutilização das embalagens, exceto quando admitido pelo fabricante; Manter identificação e rotulagem original dos produto químico dos serviços de saúde; Manter rotulada toda embalagem de produto químico fracionado.",POP.USOST.005 Trabalhos com produtos quimicos - seguranca no recebimento e entrega.docx
41,"Quais são as características que o piso do local de armazenamento de produtos químicos deve apresentar, de acordo com o documento?","O piso deve estar limpo, nivelado e possuir característica impermeável.",POP.USOST.006 Trabalhos com produtos quimicos - requisitos gerais de seguranca na armazenagem.docx
42,"Quais são os Equipamentos de Proteção Individual (EPIs) obrigatórios para manipulação de quimioterápicos, especificando o tipo de luva e o número de pares necessários?","Avental cirúrgico com proteção contra produtos químicos; Luvas para proteção química (exceto durante uso de soluções como álcool, clorexidina e outras de atividades médicas assistenciais); Luvas de procedimento (durante atendimento com uso de soluções como álcool, clorexidina, administração de quimioterápicos e outras atividades médicas assistenciais, exceto para higienização de mãos); Luvas cirúrgicas (dois pares).",POP.USOST.007 Trabalhos com produtos quimicos - requisitos especificos de armazenagem manuseio e processamento.docx
43,"Quais são os itens que compõem o kit de segurança para derramamento de produtos químicos, de acordo com o documento?","O Kit de derramamento deve ser composto dos seguintes itens: Óculos de segurança; Avental impermeável; Máscara respiratória para proteção contra particulados ou gases ácidos/vapores orgânicos, conforme o caso; Luvas nitrílicas; Dois sacos laranja de 100L; Serragem ou mantas absorventes; Vassoura; Pá.",POP.USOST.008 Trabalhos com produtos quimicos - emergencia quimica.docx
44,"De acordo com o documento, quais são os passos para guardar uma máscara N95/PFF2 para posterior reutilização, incluindo a higienização das mãos e o manuseio do envelope?","Higienizar as mãos, conforme POP. CCIH. 001; Identificar o envelope com data e nome completo, deixando o envelope aberto; Calçar luvas de procedimento; Remover a máscara do rosto, retirando-a pelos elásticos. Tomar cuidado para não tocar na superfície interna, além de tocar o mínimo possível na superfície externa; Acondicionar a máscara no interior do envelope sem tocar na superfície externa do mesmo. Os elásticos da máscara não deverão ficar dentro da embalagem. Retirar as luvas e descartar em coletor de resíduo infectante; Higienizar mãos, conforme POP. CCIH. 001; Fechar e guardar o envelope.",POP.USOST.010_Retirada_e_acondicionamento_da_N95.docx
45,"Quais os percentuais que definem os níveis ótimo, bom, regular e ruim do Índice de Práticas Seguras (IPS), conforme o documento?",IPS ótimo: > 95% IPS bom: de 86 a 95% IPS regular: de 71 a 85% IPS ruim: ≤ 70%,POP.USOST.011 AUDITORIA DO INDICE PRATICAS SEGURAS.docx
46,Qual o procedimento a ser seguido caso um colaborador apresente um atestado médico superior a 15 dias?,"Caso atestado seja > 15 dias, passará por consulta com a médica do trabalho para avaliação de atestado médico, encaminhado para o INSS, assistente social faz todos os trâmites legais para o encaminhamento do colaborador e ele será acompanhado pela assistente social e o enfermeiro de saúde mental via telefone até o seu retorno. Quando retornar, deverá passar por avaliação ocupacional pela médica do trabalho. Caso esteja apto para retorno, colaborador será liberado para exercer suas atividades laborais. Caso não esteja apto, médica do trabalho e enfermeiro de saúde mental discutem novamente o caso e avaliam a necessidade de avaliação equipe multiprofissional do canal para devidos encaminhamentos, seguindo os mesmos trâmites supracitados.",POP.USOST.012_PADRONIZAR CONDUTA PARA ATENDIMENTO PSICOSSOCIAL DO CANAL DE SAÚDE MENTAL.docx
47,"De acordo com o documento, quais são as responsabilidades da Unidade de Saúde Ocupacional e Saúde do Trabalhador (USOST) em relação ao controle das fichas de EPI?","A Unidade de Saúde Ocupacional e Saúde do Trabalhador é responsável pelo controle das fichas de EPI, sendo assim periodicamente a USOST deverá: Recolher as Fichas de EPI no Almoxarifado Central; Organizar em ordem alfabética; Confeccionar protocolo de entrega em duas vias, das FICHAS DE EPI, contendo a data da entrega, SIAPE, nome e cargo dos empregados; Entregar as FICHAS DE EPI na Unidade de Administração de Pessoal e recolher uma via do protocolo de entrega assinado; Arquivar o protocolo de entrega em pasta arquivo destinada para este fim.",POP.USOST.013 REGISTRAR FORNECIMENTO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL.docx
48,"Quais são os objetivos da Gerência de Ensino e Pesquisa (GEP) no Hospital Escola da UFPel, conforme descrito no documento?",São objetivos da GEP: auxiliar na formação de recursos humanos nas atividades de ensino desenvolvidas no HE; ampliar o conhecimento e inovação tecnológica através do incentivo à pesquisa; favorecer o desenvolvimento de atividades de extensão universitária.,MA.GEP.001 MANUAL DO RESIDENTE.docx
49,"Qual o endereço eletrônico para acessar a área de ensino do site do Hospital Escola, conforme descrito no documento?",https://www.gov.br/ebserh/pt-br/hospitais-universitarios/regiao-sul/he-ufpel/ensino-e-pesquisa,MA.GEP.001 MANUAL DO RESIDENTE.docx
50,Quais são os horários de funcionamento do restaurante Bandejão e quais os procedimentos para o agendamento das refeições de almoço aos domingos e feriados e jantar diariamente?,"O almoço é servido no restaurante Bandejão das 11h30 às 14h, de segunda a sábado. Aos domingos e feriados, o almoço é servido na copa do HE e requer adesão prévia no sábado ou na véspera do feriado. Para o jantar, a adesão deve ser feita diariamente até às 13h30 do mesmo dia ou pode ser realizada a adesão programada por semana, entrando em contato pelo telefone 3284. 4961 (ligação externa) ou ramal 4961 (ligação interna) - Copa Central.",MA.GEP.001 MANUAL DO RESIDENTE.docx
51,"Quais são os medicamentos que compõem o RHZE, utilizado no tratamento da tuberculose, e em quais dosagens são disponibilizados pelo hospital?",O hospital dispõe de: RHZE (Rifampicina 150mg + Isoniazida 75mg + Pirazinamida 400mg + Etambutol 275mg); RH (Rifampicina 150mg + Isoniazida 75mg); Rifampicina 300 mg; Isoniazida 100 mg.,MA.GEP.001 MANUAL DO RESIDENTE.docx
52,"De acordo com o documento, qual o procedimento para notificação de gestantes com diagnóstico prévio ou atual de sífilis, toxoplasmose e HIV?","GESTANTES com diagnóstico prévio ou atual de sífilis, toxoplasmose e HIV deverão ser notificadas pelo RESIDENTE da obstetrícia, independe da realização de pré-natal ou de já ter sido notificada previamente.",MA.GEP.001 MANUAL DO RESIDENTE.docx
53,"Quais são as faixas etárias atendidas pelo Screening Tool for Risk on Nutritional Status and Growth (STRONGkids-2010), e como é o acompanhamento diário desses pacientes?","Pacientes acima de 1 mês de vida até 17 anos e 11 meses são triados utilizando a ferramenta Screening Tool for Risk on Nutritional Status and Growth (STRONGkids-2010). Os pacientes são visitados diariamente onde são realizadas a avaliação da aceitação da dieta prescrita, avaliação de ingestão, análise da dieta, medidas antropométricas, acompanhamento de exames laboratoriais, adaptação da dieta via oral (consistência, preparações, suplementação, ajuste das necessidades de calorias, macronutrientes e/ou micronutrientes).",MA.GEP.001 MANUAL DO RESIDENTE.docx
54,"Quais são os critérios de inelegibilidade para o Serviço de Atendimento Domiciliar (SAD), conforme descrito no documento?","Residência da pessoa esteja fora dos limites de atuação da UADCP, por exemplo, zona rural da cidade ou municípios vizinhos; ausência de cuidador disponível para receber orientações e auxiliar no cuidado; local de moradia ofereça risco à equipe; não concordância com os termos de atuação da equipe, segundo explicado na primeira avaliação.",MA.GEP.001 MANUAL DO RESIDENTE.docx
55,"Quais escalas são utilizadas para avaliar o risco de quedas em pacientes adultos e crianças, respectivamente, e como são identificados os pacientes adultos com risco alto de quedas?","Para crianças é utilizada a Escala Humpty Dumpty e para os adultos a Morse Fall Scale (MSF). Os pacientes adultos, que apresentem Risco Alto para quedas são identificados com uma pulseira amarela.",MA.GEP.001 MANUAL DO RESIDENTE.docx
56,"De acordo com o texto, qual a exigência do TCLE em relação ao fornecimento do documento original aos participantes da pesquisa, incluindo detalhes sobre assinaturas e rubricas?","O TCLE deve assegurar de forma clara e afirmativa que o participante de pesquisa receberá uma via (e não cópia) do documento, assinada pelo participante de pesquisa (ou seu representante legal) e pelo pesquisador, e rubricada em todas as páginas por ambos.",POP.GEP.029 NORMATIZAÇÃO DO TERMO DE CONSENTIMENTO LIVRE E ESCLARECIDO (TCLE) NO CENTRO DE PESQUISA CLÍNICA.docx
57,"Quais documentos estão disponíveis no site do HE-UFPel para pesquisas acadêmicas, científicas, relatos de casos e estudos clínicos, conforme descrito no documento?",- Termo de Confidencialidade e Sigilo para Coleta de Dados; - Termo de Compromisso de Devolução Científica (não é necessário para estudos clínicos); - Formulário de Solicitação para Consulta de Prontuários e Dados Institucionais (se necessário); - Termo de Autorização de Chefia para Participação em Pesquisa (somente para empregados da EBSERH); - Termo de Consentimento Livre e Esclarecido (TCLE) / Termo de Assentimento Livre e Esclarecido (TALE).,POP.GEP.001 Recebimento da Solicitacao para Realizar Pesquisa no Hospital Escola UFPel V.2.docx
